year,round,lap,driver,position,laptime
2022,22,1,max_verstappen,1,92.19800000000001
2022,22,1,perez,2,93.251
2022,22,1,leclerc,3,94.19200000000001
2022,22,1,hamilton,4,94.864
2022,22,1,sainz,5,95.436
2022,22,1,norris,6,95.908
2022,22,1,russell,7,96.506
2022,22,1,ocon,8,96.964
2022,22,1,vettel,9,97.455
2022,22,1,alonso,10,98.193
2022,22,1,tsunoda,11,98.738
2022,22,1,stroll,12,99.172
2022,22,1,mick_schumacher,13,99.723
2022,22,1,ricciardo,14,100.193
2022,22,1,zhou,15,100.564
2022,22,1,kevin_magnussen,16,101.2
2022,22,1,albon,17,101.738
2022,22,1,gasly,18,102.05
2022,22,1,latifi,19,102.50800000000001
2022,22,1,bottas,20,102.988
2022,22,2,max_verstappen,1,90.541
2022,22,2,perez,2,90.57900000000001
2022,22,2,leclerc,3,90.996
2022,22,2,hamilton,4,91.094
2022,22,2,sainz,5,91.332
2022,22,2,norris,6,91.693
2022,22,2,russell,7,91.786
2022,22,2,ocon,8,92.136
2022,22,2,vettel,9,92.324
2022,22,2,alonso,10,92.32900000000001
2022,22,2,tsunoda,11,92.551
2022,22,2,stroll,12,92.649
2022,22,2,ricciardo,13,92.513
2022,22,2,mick_schumacher,14,93.725
2022,22,2,zhou,15,93.406
2022,22,2,albon,16,93.227
2022,22,2,kevin_magnussen,17,94.95
2022,22,2,gasly,18,94.636
2022,22,2,latifi,19,94.75200000000001
2022,22,2,bottas,20,94.636
2022,22,3,max_verstappen,1,89.968
2022,22,3,perez,2,90.27199999999999
2022,22,3,leclerc,3,90.418
2022,22,3,hamilton,4,90.441
2022,22,3,sainz,5,90.946
2022,22,3,norris,6,91.188
2022,22,3,russell,7,91.189
2022,22,3,ocon,8,91.385
2022,22,3,vettel,9,91.488
2022,22,3,alonso,10,91.539
2022,22,3,tsunoda,11,91.604
2022,22,3,stroll,12,91.74
2022,22,3,ricciardo,13,91.815
2022,22,3,mick_schumacher,14,92.196
2022,22,3,zhou,15,92.436
2022,22,3,albon,16,92.356
2022,22,3,gasly,17,92.47
2022,22,3,kevin_magnussen,18,93.566
2022,22,3,latifi,19,93.218
2022,22,3,bottas,20,93.43
2022,22,4,max_verstappen,1,90.368
2022,22,4,perez,2,90.879
2022,22,4,leclerc,3,91.167
2022,22,4,sainz,4,90.987
2022,22,4,hamilton,5,92.842
2022,22,4,norris,6,91.26599999999999
2022,22,4,russell,7,91.243
2022,22,4,ocon,8,91.42699999999999
2022,22,4,vettel,9,91.439
2022,22,4,alonso,10,91.618
2022,22,4,tsunoda,11,91.789
2022,22,4,stroll,12,91.827
2022,22,4,ricciardo,13,92.413
2022,22,4,zhou,14,92.818
2022,22,4,mick_schumacher,15,94.20400000000001
2022,22,4,albon,16,93.137
2022,22,4,gasly,17,92.473
2022,22,4,kevin_magnussen,18,92.512
2022,22,4,latifi,19,92.741
2022,22,4,bottas,20,92.662
2022,22,5,max_verstappen,1,90.502
2022,22,5,perez,2,90.92699999999999
2022,22,5,leclerc,3,91.356
2022,22,5,hamilton,4,90.346
2022,22,5,sainz,5,91.98
2022,22,5,russell,6,90.631
2022,22,5,norris,7,92.208
2022,22,5,ocon,8,91.72200000000001
2022,22,5,vettel,9,91.786
2022,22,5,alonso,10,91.638
2022,22,5,tsunoda,11,91.832
2022,22,5,stroll,12,91.986
2022,22,5,ricciardo,13,92.265
2022,22,5,zhou,14,92.456
2022,22,5,albon,15,92.652
2022,22,5,mick_schumacher,16,93.757
2022,22,5,gasly,17,92.581
2022,22,5,kevin_magnussen,18,92.637
2022,22,5,latifi,19,92.89500000000001
2022,22,5,bottas,20,92.87299999999999
