year,round,lap,driver,position,laptime
2022,14,1,sainz,1,113.943
2022,14,1,perez,2,116.093
2022,14,1,russell,3,117.286
2022,14,1,alonso,4,119.705
2022,14,1,vettel,5,121.131
2022,14,1,ricciardo,6,121.872
2022,14,1,albon,7,122.604
2022,14,1,max_verstappen,8,123.282
2022,14,1,stroll,9,123.494
2022,14,1,leclerc,10,124.04
2022,14,1,kevin_magnussen,11,124.5
2022,14,1,latifi,12,124.932
2022,14,1,ocon,13,125.446
2022,14,1,bottas,14,125.651
2022,14,1,norris,15,125.839
2022,14,1,zhou,16,126.107
2022,14,1,mick_schumacher,17,126.331
2022,14,1,tsunoda,18,126.738
2022,14,1,gasly,19,127.05799999999999
2022,14,2,sainz,1,131.068
2022,14,2,perez,2,132.454
2022,14,2,russell,3,134.791
2022,14,2,alonso,4,135.89600000000002
2022,14,2,vettel,5,137.537
2022,14,2,ricciardo,6,138.591
2022,14,2,albon,7,138.752
2022,14,2,max_verstappen,8,139.517
2022,14,2,leclerc,9,140.48
2022,14,2,stroll,10,142.601
2022,14,2,kevin_magnussen,11,142.27
2022,14,2,ocon,12,142.332
2022,14,2,norris,13,144.247
2022,14,2,zhou,14,145.82
2022,14,2,mick_schumacher,15,147.169
2022,14,2,tsunoda,16,149.823
2022,14,2,gasly,17,151.835
2022,14,2,latifi,18,156.537
2022,14,3,sainz,1,187.807
2022,14,3,perez,2,186.529
2022,14,3,russell,3,184.806
2022,14,3,alonso,4,183.757
2022,14,3,vettel,5,183.282
2022,14,3,ricciardo,6,183.984
2022,14,3,albon,7,184.275
2022,14,3,max_verstappen,8,184.045
2022,14,3,stroll,9,182.719
2022,14,3,kevin_magnussen,10,182.733
2022,14,3,ocon,11,183.314
2022,14,3,leclerc,12,187.212
2022,14,3,norris,13,182.73
2022,14,3,zhou,14,182.552
2022,14,3,mick_schumacher,15,182.569
2022,14,3,tsunoda,16,181.058
2022,14,3,gasly,17,179.07999999999998
2022,14,3,latifi,18,182.851
2022,14,4,sainz,1,187.552
2022,14,4,perez,2,185.892
2022,14,4,russell,3,184.245
2022,14,4,alonso,4,182.258
2022,14,4,vettel,5,180.051
2022,14,4,ricciardo,6,178.103
2022,14,4,albon,7,177.252
2022,14,4,max_verstappen,8,176.46
2022,14,4,stroll,9,175.106
2022,14,4,kevin_magnussen,10,174.861
2022,14,4,ocon,11,173.746
2022,14,4,norris,12,172.374
2022,14,4,zhou,13,171.162
2022,14,4,mick_schumacher,14,170.13
2022,14,4,tsunoda,15,169.21
2022,14,4,gasly,16,169.239
2022,14,4,leclerc,17,176.292
2022,14,4,latifi,18,164.257
2022,14,5,sainz,1,112.19800000000001
2022,14,5,perez,2,112.872
2022,14,5,russell,3,113.854
2022,14,5,alonso,4,114.34700000000001
2022,14,5,vettel,5,114.49000000000001
2022,14,5,max_verstappen,6,113.951
2022,14,5,ricciardo,7,115.095
2022,14,5,albon,8,115.429
2022,14,5,stroll,9,114.92099999999999
2022,14,5,kevin_magnussen,10,115.521
2022,14,5,ocon,11,115.451
2022,14,5,norris,12,115.40100000000001
2022,14,5,zhou,13,115.321
2022,14,5,tsunoda,14,114.967
2022,14,5,gasly,15,115.35300000000001
2022,14,5,mick_schumacher,16,116.89500000000001
2022,14,5,leclerc,17,115.169
2022,14,5,latifi,18,115.344
2022,14,6,sainz,1,112.322
2022,14,6,perez,2,112.708
2022,14,6,russell,3,113.586
2022,14,6,alonso,4,114.275
2022,14,6,max_verstappen,5,113.74799999999999
2022,14,6,vettel,6,114.854
2022,14,6,albon,7,114.61
2022,14,6,ricciardo,8,116.283
2022,14,6,stroll,9,115.57900000000001
