year,round,lap,driver,position,laptime
2022,9,1,max_verstappen,1,83.396
2022,9,1,alonso,2,84.435
2022,9,1,sainz,3,85.16
2022,9,1,hamilton,4,86.209
2022,9,1,kevin_magnussen,5,87.088
2022,9,1,ocon,6,87.881
2022,9,1,russell,7,88.761
2022,9,1,mick_schumacher,8,89.342
2022,9,1,ricciardo,9,89.928
2022,9,1,zhou,10,90.286
2022,9,1,perez,11,91.21000000000001
2022,9,1,albon,12,91.675
2022,9,1,bottas,13,91.719
2022,9,1,norris,14,92.333
2022,9,1,vettel,15,92.64699999999999
2022,9,1,stroll,16,93.179
2022,9,1,gasly,17,93.394
2022,9,1,leclerc,18,93.701
2022,9,1,tsunoda,19,94.569
2022,9,1,latifi,20,95.457
2022,9,2,max_verstappen,1,78.96000000000001
2022,9,2,alonso,2,79.60300000000001
2022,9,2,sainz,3,79.339
2022,9,2,hamilton,4,79.549
2022,9,2,kevin_magnussen,5,80.105
2022,9,2,ocon,6,80.334
2022,9,2,russell,7,80.352
2022,9,2,mick_schumacher,8,80.785
2022,9,2,ricciardo,9,81.014
2022,9,2,zhou,10,81.166
2022,9,2,perez,11,81.239
2022,9,2,albon,12,81.297
2022,9,2,bottas,13,81.92
2022,9,2,norris,14,82.27799999999999
2022,9,2,vettel,15,82.343
2022,9,2,stroll,16,82.423
2022,9,2,leclerc,17,82.27
2022,9,2,gasly,18,83.231
2022,9,2,tsunoda,19,82.382
2022,9,2,latifi,20,82.432
2022,9,3,max_verstappen,1,78.818
2022,9,3,sainz,2,79.14699999999999
2022,9,3,alonso,3,80.136
2022,9,3,hamilton,4,79.013
2022,9,3,kevin_magnussen,5,79.833
2022,9,3,russell,6,79.238
2022,9,3,ocon,7,80.69200000000001
2022,9,3,mick_schumacher,8,79.589
2022,9,3,ricciardo,9,79.773
2022,9,3,zhou,10,79.583
2022,9,3,perez,11,79.654
2022,9,3,albon,12,80.304
2022,9,3,bottas,13,80.082
2022,9,3,norris,14,79.98
2022,9,3,vettel,15,80.173
2022,9,3,leclerc,16,80.117
2022,9,3,stroll,17,80.762
2022,9,3,gasly,18,80.406
2022,9,3,tsunoda,19,80.513
2022,9,3,latifi,20,81.123
2022,9,4,max_verstappen,1,78.393
2022,9,4,sainz,2,79.086
2022,9,4,alonso,3,78.98
2022,9,4,hamilton,4,79.158
2022,9,4,kevin_magnussen,5,79.729
2022,9,4,russell,6,79.154
2022,9,4,ocon,7,79.474
2022,9,4,mick_schumacher,8,79.195
2022,9,4,zhou,9,79.457
2022,9,4,ricciardo,10,80.389
2022,9,4,perez,11,79.428
2022,9,4,albon,12,79.48400000000001
2022,9,4,bottas,13,79.43299999999999
2022,9,4,norris,14,79.663
2022,9,4,vettel,15,79.529
2022,9,4,leclerc,16,79.39699999999999
2022,9,4,stroll,17,80.06700000000001
2022,9,4,gasly,18,80.01
2022,9,4,tsunoda,19,80.11
2022,9,4,latifi,20,80.61
2022,9,5,max_verstappen,1,78.293
2022,9,5,sainz,2,78.214
2022,9,5,alonso,3,78.455
2022,9,5,hamilton,4,78.66
2022,9,5,russell,5,78.867
2022,9,5,kevin_magnussen,6,80.233
2022,9,5,ocon,7,79.384
2022,9,5,mick_schumacher,8,80.064
2022,9,5,zhou,9,79.57300000000001
2022,9,5,ricciardo,10,79.655
2022,9,5,perez,11,79.787
2022,9,5,albon,12,79.69
2022,9,5,bottas,13,79.94200000000001
2022,9,5,norris,14,79.602
2022,9,5,leclerc,15,79.294
2022,9,5,stroll,16,79.595
2022,9,5,tsunoda,17,80.065
2022,9,5,latifi,18,80.483
2022,9,5,vettel,19,95.658
2022,9,5,gasly,20,95.62899999999999
