year,round,lap,driver,position,laptime
2022,4,1,max_verstappen,1,111.307
2022,4,1,perez,2,112.5
2022,4,1,norris,3,114.626
2022,4,1,leclerc,4,115.928
2022,4,1,kevin_magnussen,5,117.455
2022,4,1,russell,6,119.709
2022,4,1,bottas,7,120.966
2022,4,1,alonso,8,122.608
2022,4,1,vettel,9,124.108
2022,4,1,tsunoda,10,125.639
2022,4,1,stroll,11,127.718
2022,4,1,hamilton,12,129.467
2022,4,1,ocon,13,130.561
2022,4,1,gasly,14,131.628
2022,4,1,albon,15,132.848
2022,4,1,latifi,16,134.406
2022,4,1,mick_schumacher,17,135.459
2022,4,1,zhou,18,138.49099999999999
2022,4,1,ricciardo,19,139.381
2022,4,2,max_verstappen,1,145.995
2022,4,2,perez,2,146.002
2022,4,2,norris,3,146.371
2022,4,2,leclerc,4,146.514
2022,4,2,kevin_magnussen,5,146.827
2022,4,2,russell,6,146.654
2022,4,2,bottas,7,146.939
2022,4,2,alonso,8,146.369
2022,4,2,vettel,9,147.553
2022,4,2,tsunoda,10,147.822
2022,4,2,stroll,11,148.368
2022,4,2,hamilton,12,149.645
2022,4,2,ocon,13,149.60399999999998
2022,4,2,gasly,14,150.834
2022,4,2,albon,15,150.109
2022,4,2,latifi,16,150.752
2022,4,2,mick_schumacher,17,150.438
2022,4,2,zhou,18,148.409
2022,4,2,ricciardo,19,150.235
2022,4,3,max_verstappen,1,136.5
2022,4,3,perez,2,137.81
2022,4,3,norris,3,138.358
2022,4,3,leclerc,4,139.272
2022,4,3,kevin_magnussen,5,138.781
2022,4,3,russell,6,138.537
2022,4,3,bottas,7,138.92000000000002
2022,4,3,alonso,8,139.044
2022,4,3,vettel,9,138.733
2022,4,3,tsunoda,10,138.388
2022,4,3,stroll,11,137.727
2022,4,3,hamilton,12,135.927
2022,4,3,ocon,13,136.389
2022,4,3,gasly,14,135.662
2022,4,3,albon,15,135.554
2022,4,3,latifi,16,135.58
2022,4,3,mick_schumacher,17,135.455
2022,4,3,zhou,18,135.068
2022,4,3,ricciardo,19,133.778
2022,4,4,max_verstappen,1,147.427
2022,4,4,perez,2,145.43
2022,4,4,norris,3,143.151
2022,4,4,leclerc,4,141.148
2022,4,4,kevin_magnussen,5,140.236
2022,4,4,russell,6,138.79500000000002
2022,4,4,bottas,7,137.712
2022,4,4,alonso,8,136.968
2022,4,4,vettel,9,134.983
2022,4,4,tsunoda,10,133.727
2022,4,4,stroll,11,132.658
2022,4,4,hamilton,12,131.564
2022,4,4,ocon,13,130.454
2022,4,4,gasly,14,129.157
2022,4,4,albon,15,129.379
2022,4,4,latifi,16,127.762
2022,4,4,mick_schumacher,17,127.426
2022,4,4,zhou,18,127.646
2022,4,4,ricciardo,19,126.502
2022,4,5,max_verstappen,1,91.45
2022,4,5,perez,2,92.709
2022,4,5,norris,3,93.39500000000001
2022,4,5,leclerc,4,93.592
2022,4,5,kevin_magnussen,5,94.39
2022,4,5,russell,6,95.384
2022,4,5,bottas,7,95.786
2022,4,5,vettel,8,96.33
2022,4,5,tsunoda,9,96.584
2022,4,5,stroll,10,97.08
2022,4,5,alonso,11,99.685
2022,4,5,hamilton,12,98.334
2022,4,5,ocon,13,98.412
2022,4,5,gasly,14,98.443
2022,4,5,albon,15,98.485
2022,4,5,latifi,16,98.46600000000001
2022,4,5,mick_schumacher,17,98.709
2022,4,5,zhou,18,98.457
2022,4,5,ricciardo,19,98.686
2022,4,6,max_verstappen,1,90.444
2022,4,6,perez,2,91.004
2022,4,6,norris,3,91.259
2022,4,6,leclerc,4,91.515
2022,4,6,kevin_magnussen,5,92.945
2022,4,6,russell,6,92.90100000000001
2022,4,6,bottas,7,93.122
2022,4,6,vettel,8,93.521
2022,4,6,tsunoda,9,93.932
2022,4,6,stroll,10,93.761
2022,4,6,hamilton,11,93.63900000000001
2022,4,6,ocon,12,95.166
2022,4,6,gasly,13,95.21000000000001
2022,4,6,albon,14,95.024
2022,4,6,latifi,15,95.185
2022,4,6,mick_schumacher,16,94.981
2022,4,6,zhou,17,95.16
2022,4,6,ricciardo,18,95.487
2022,4,6,alonso,19,100.245
2022,4,7,max_verstappen,1,90.119
2022,4,7,perez,2,90.998
