year,round,lap,driver,position,laptime
2022,12,1,leclerc,1,103.351
2022,12,1,max_verstappen,2,104.41499999999999
2022,12,1,hamilton,3,105.42099999999999
2022,12,1,perez,4,106.399
2022,12,1,alonso,5,107.416
2022,12,1,russell,6,107.99600000000001
2022,12,1,norris,7,108.53999999999999
2022,12,1,ricciardo,8,109.249
2022,12,1,ocon,9,110.622
2022,12,1,stroll,10,111.666
2022,12,1,vettel,11,112.214
2022,12,1,albon,12,112.80199999999999
2022,12,1,kevin_magnussen,13,113.20400000000001
2022,12,1,mick_schumacher,14,113.429
2022,12,1,gasly,15,114.14
2022,12,1,bottas,16,114.30799999999999
2022,12,1,latifi,17,114.94
2022,12,1,sainz,18,115.01400000000001
2022,12,1,zhou,19,115.28999999999999
2022,12,1,tsunoda,20,122.423
2022,12,2,leclerc,1,98.12700000000001
2022,12,2,max_verstappen,2,98.33
2022,12,2,hamilton,3,99.316
2022,12,2,perez,4,99.289
2022,12,2,alonso,5,99.9
2022,12,2,russell,6,99.807
2022,12,2,norris,7,100.479
2022,12,2,ricciardo,8,100.94800000000001
2022,12,2,ocon,9,100.899
2022,12,2,stroll,10,100.753
2022,12,2,vettel,11,101.161
2022,12,2,kevin_magnussen,12,101.11
2022,12,2,albon,13,102.001
2022,12,2,mick_schumacher,14,101.57900000000001
2022,12,2,gasly,15,102.174
2022,12,2,sainz,16,101.35499999999999
2022,12,2,bottas,17,102.929
2022,12,2,latifi,18,102.934
2022,12,2,zhou,19,103.13
2022,12,2,tsunoda,20,100.24000000000001
2022,12,3,leclerc,1,98.699
2022,12,3,max_verstappen,2,98.11699999999999
2022,12,3,hamilton,3,99.62
2022,12,3,perez,4,99.42699999999999
2022,12,3,russell,5,99.38900000000001
2022,12,3,alonso,6,100.53
2022,12,3,norris,7,100.356
2022,12,3,ricciardo,8,100.79599999999999
2022,12,3,ocon,9,100.62100000000001
2022,12,3,stroll,10,100.451
2022,12,3,vettel,11,100.34
2022,12,3,kevin_magnussen,12,100.00999999999999
2022,12,3,albon,13,100.39500000000001
2022,12,3,mick_schumacher,14,100.774
2022,12,3,sainz,15,99.779
2022,12,3,gasly,16,101.845
2022,12,3,bottas,17,101.529
2022,12,3,latifi,18,101.281
2022,12,3,zhou,19,101.256
2022,12,3,tsunoda,20,100.619
2022,12,4,leclerc,1,98.088
2022,12,4,max_verstappen,2,98.39
2022,12,4,hamilton,3,99.066
2022,12,4,perez,4,98.92
2022,12,4,russell,5,98.837
2022,12,4,alonso,6,99.156
2022,12,4,norris,7,100.078
2022,12,4,ricciardo,8,100.293
2022,12,4,ocon,9,99.94800000000001
2022,12,4,stroll,10,100.102
2022,12,4,vettel,11,100.078
2022,12,4,kevin_magnussen,12,100.14500000000001
2022,12,4,albon,13,100.423
2022,12,4,sainz,14,100.095
2022,12,4,mick_schumacher,15,101.312
2022,12,4,gasly,16,100.767
2022,12,4,bottas,17,100.929
2022,12,4,latifi,18,101.089
2022,12,4,zhou,19,101.11099999999999
2022,12,4,tsunoda,20,100.21600000000001
2022,12,5,leclerc,1,99.09700000000001
2022,12,5,max_verstappen,2,98.72
2022,12,5,hamilton,3,99.608
2022,12,5,perez,4,99.68299999999999
2022,12,5,russell,5,99.6
2022,12,5,alonso,6,100.243
2022,12,5,norris,7,100.05
2022,12,5,ricciardo,8,100.235
2022,12,5,ocon,9,100.066
2022,12,5,stroll,10,100.13900000000001
2022,12,5,vettel,11,100.21600000000001
2022,12,5,kevin_magnussen,12,100.336
2022,12,5,sainz,13,100.063
2022,12,5,albon,14,101.576
2022,12,5,mick_schumacher,15,100.644
2022,12,5,gasly,16,100.789
2022,12,5,bottas,17,100.601
2022,12,5,latifi,18,100.706
2022,12,5,zhou,19,100.779
2022,12,5,tsunoda,20,100.672
