year,round,lap,driver,position,laptime
2022,13,1,russell,1,88.39099999999999
2022,13,1,sainz,2,90.04599999999999
2022,13,1,leclerc,3,90.98400000000001
2022,13,1,norris,4,91.618
2022,13,1,hamilton,5,92.536
2022,13,1,ocon,6,93.887
2022,13,1,alonso,7,95.53999999999999
2022,13,1,max_verstappen,8,96.512
2022,13,1,perez,9,98.691
2022,13,1,kevin_magnussen,10,100.882
2022,13,1,ricciardo,11,101.88900000000001
2022,13,1,mick_schumacher,12,102.838
2022,13,1,bottas,13,103.547
2022,13,1,stroll,14,104.9
2022,13,1,albon,15,105.881
2022,13,1,tsunoda,16,108.072
2022,13,1,zhou,17,109.084
2022,13,1,vettel,18,109.517
2022,13,1,latifi,19,110.63900000000001
2022,13,1,gasly,20,112.432
2022,13,2,russell,1,112.128
2022,13,2,sainz,2,114.643
2022,13,2,leclerc,3,114.85499999999999
2022,13,2,norris,4,115.07900000000001
2022,13,2,hamilton,5,114.827
2022,13,2,ocon,6,114.84700000000001
2022,13,2,alonso,7,114.233
2022,13,2,max_verstappen,8,114.46000000000001
2022,13,2,perez,9,114.989
2022,13,2,kevin_magnussen,10,113.795
2022,13,2,ricciardo,11,113.527
2022,13,2,albon,12,109.84
2022,13,2,mick_schumacher,13,113.475
2022,13,2,bottas,14,113.37299999999999
2022,13,2,stroll,15,112.761
2022,13,2,tsunoda,16,111.19
2022,13,2,zhou,17,110.81
2022,13,2,vettel,18,110.87100000000001
2022,13,2,latifi,19,111.116
2022,13,2,gasly,20,109.869
2022,13,3,russell,1,90.593
2022,13,3,sainz,2,88.905
2022,13,3,leclerc,3,88.826
2022,13,3,norris,4,89.459
2022,13,3,hamilton,5,89.52799999999999
2022,13,3,ocon,6,89.34
2022,13,3,alonso,7,89.05
2022,13,3,max_verstappen,8,88.191
2022,13,3,perez,9,86.519
2022,13,3,kevin_magnussen,10,87.21000000000001
2022,13,3,ricciardo,11,87.333
2022,13,3,mick_schumacher,12,87.366
2022,13,3,bottas,13,87.408
2022,13,3,stroll,14,87.496
2022,13,3,tsunoda,15,88.098
2022,13,3,vettel,16,87.48400000000001
2022,13,3,zhou,17,88.757
2022,13,3,latifi,18,87.601
2022,13,3,gasly,19,87.57
2022,13,3,albon,20,113.951
2022,13,4,russell,1,83.72200000000001
2022,13,4,sainz,2,83.354
2022,13,4,leclerc,3,83.57300000000001
2022,13,4,norris,4,84.09
2022,13,4,hamilton,5,84.265
2022,13,4,ocon,6,84.583
2022,13,4,alonso,7,84.742
2022,13,4,max_verstappen,8,85.05799999999999
2022,13,4,perez,9,84.689
2022,13,4,kevin_magnussen,10,85.178
2022,13,4,ricciardo,11,84.91
2022,13,4,mick_schumacher,12,85.07300000000001
2022,13,4,bottas,13,85.128
2022,13,4,stroll,14,85.178
2022,13,4,tsunoda,15,85.369
2022,13,4,vettel,16,85.497
2022,13,4,zhou,17,85.405
2022,13,4,latifi,18,86.007
2022,13,4,gasly,19,86.024
2022,13,4,albon,20,85.048
2022,13,5,russell,1,83.95400000000001
2022,13,5,sainz,2,83.932
2022,13,5,leclerc,3,84.315
2022,13,5,norris,4,84.182
2022,13,5,hamilton,5,84.348
2022,13,5,ocon,6,84.991
2022,13,5,max_verstappen,7,84.121
2022,13,5,alonso,8,85.898
2022,13,5,perez,9,85.039
2022,13,5,kevin_magnussen,10,85.411
2022,13,5,ricciardo,11,85.227
2022,13,5,mick_schumacher,12,85.108
2022,13,5,bottas,13,85.352
2022,13,5,stroll,14,85.149
2022,13,5,tsunoda,15,85.15899999999999
2022,13,5,vettel,16,85.146
2022,13,5,zhou,17,85.331
2022,13,5,latifi,18,85.935
2022,13,5,gasly,19,85.906
2022,13,5,albon,20,84.719
