year,round,lap,driver,position,laptime
2022,16,1,leclerc,1,88.08500000000001
2022,16,1,russell,2,89.42699999999999
2022,16,1,ricciardo,3,90.751
2022,16,1,max_verstappen,4,90.827
2022,16,1,gasly,5,91.681
2022,16,1,norris,6,92.356
2022,16,1,alonso,7,93.05799999999999
2022,16,1,de_vries,8,93.491
2022,16,1,zhou,9,93.82300000000001
2022,16,1,vettel,10,94.49799999999999
2022,16,1,stroll,11,94.774
2022,16,1,kevin_magnussen,12,95.277
2022,16,1,ocon,13,95.68
2022,16,1,latifi,14,95.968
2022,16,1,perez,15,96.23400000000001
2022,16,1,sainz,16,96.44800000000001
2022,16,1,mick_schumacher,17,97.137
2022,16,1,tsunoda,18,97.42
2022,16,1,hamilton,19,97.652
2022,16,1,bottas,20,98.273
2022,16,2,leclerc,1,86.535
2022,16,2,russell,2,86.724
2022,16,2,max_verstappen,3,86.401
2022,16,2,ricciardo,4,88.398
2022,16,2,gasly,5,88.201
2022,16,2,norris,6,88.196
2022,16,2,alonso,7,88.27199999999999
2022,16,2,de_vries,8,88.416
2022,16,2,zhou,9,88.445
2022,16,2,stroll,10,88.72200000000001
2022,16,2,vettel,11,89.616
2022,16,2,ocon,12,88.849
2022,16,2,kevin_magnussen,13,89.935
2022,16,2,sainz,14,89.685
2022,16,2,latifi,15,90.629
2022,16,2,perez,16,90.459
2022,16,2,tsunoda,17,89.541
2022,16,2,hamilton,18,90.032
2022,16,2,mick_schumacher,19,90.906
2022,16,2,bottas,20,89.846
2022,16,3,leclerc,1,86.352
2022,16,3,russell,2,86.432
2022,16,3,max_verstappen,3,86.181
2022,16,3,ricciardo,4,87.818
2022,16,3,gasly,5,87.625
2022,16,3,norris,6,87.655
2022,16,3,alonso,7,87.607
2022,16,3,de_vries,8,87.566
2022,16,3,zhou,9,87.989
2022,16,3,stroll,10,88.096
2022,16,3,vettel,11,88.338
2022,16,3,ocon,12,88.22800000000001
2022,16,3,kevin_magnussen,13,88.221
2022,16,3,sainz,14,87.539
2022,16,3,perez,15,87.557
2022,16,3,latifi,16,89.30799999999999
2022,16,3,tsunoda,17,89.333
2022,16,3,hamilton,18,88.95400000000001
2022,16,3,mick_schumacher,19,89.301
2022,16,3,bottas,20,89.643
2022,16,4,leclerc,1,85.80199999999999
2022,16,4,russell,2,86.143
2022,16,4,max_verstappen,3,85.782
2022,16,4,ricciardo,4,87.26
2022,16,4,gasly,5,87.365
2022,16,4,norris,6,87.326
2022,16,4,alonso,7,87.417
2022,16,4,de_vries,8,87.459
2022,16,4,zhou,9,87.29599999999999
2022,16,4,stroll,10,87.618
2022,16,4,vettel,11,87.501
2022,16,4,ocon,12,87.725
2022,16,4,sainz,13,87.044
2022,16,4,perez,14,87.263
2022,16,4,kevin_magnussen,15,89.212
2022,16,4,latifi,16,87.944
2022,16,4,tsunoda,17,88.19800000000001
2022,16,4,hamilton,18,88.15299999999999
2022,16,4,mick_schumacher,19,88.248
2022,16,4,bottas,20,88.362
2022,16,5,leclerc,1,85.902
2022,16,5,max_verstappen,2,85.512
2022,16,5,russell,3,86.878
2022,16,5,ricciardo,4,87.441
2022,16,5,gasly,5,87.53399999999999
2022,16,5,norris,6,87.553
2022,16,5,alonso,7,87.502
2022,16,5,de_vries,8,87.428
2022,16,5,zhou,9,87.54599999999999
2022,16,5,stroll,10,87.637
2022,16,5,sainz,11,86.543
2022,16,5,vettel,12,87.928
2022,16,5,ocon,13,88.005
2022,16,5,perez,14,87.26599999999999
2022,16,5,kevin_magnussen,15,88.126
2022,16,5,latifi,16,87.837
2022,16,5,tsunoda,17,87.638
2022,16,5,hamilton,18,87.806
2022,16,5,mick_schumacher,19,87.412
2022,16,5,bottas,20,87.56
