year,round,lap,driver,position,laptime
2022,7,1,leclerc,1,151.929
2022,7,1,sainz,2,153.538
2022,7,1,perez,3,155.297
2022,7,1,max_verstappen,4,156.498
2022,7,1,norris,5,159.234
2022,7,1,russell,6,161.065
2022,7,1,alonso,7,164.42000000000002
2022,7,1,hamilton,8,165.811
2022,7,1,vettel,9,167.674
2022,7,1,ocon,10,169.987
2022,7,1,tsunoda,11,171.845
2022,7,1,bottas,12,173.571
2022,7,1,kevin_magnussen,13,175.539
2022,7,1,ricciardo,14,177.79399999999998
2022,7,1,mick_schumacher,15,178.856
2022,7,1,albon,16,181.062
2022,7,1,gasly,17,182.581
2022,7,1,zhou,18,192.776
2022,7,1,stroll,19,205.123
2022,7,1,latifi,20,226.277
2022,7,2,leclerc,1,144.97899999999998
2022,7,2,sainz,2,144.07
2022,7,2,perez,3,143.143
2022,7,2,max_verstappen,4,142.614
2022,7,2,norris,5,141.252
2022,7,2,russell,6,140.423
2022,7,2,alonso,7,138.13
2022,7,2,hamilton,8,137.309
2022,7,2,vettel,9,136.288
2022,7,2,ocon,10,135.166
2022,7,2,tsunoda,11,134.343
2022,7,2,bottas,12,133.433
2022,7,2,kevin_magnussen,13,132.35399999999998
2022,7,2,ricciardo,14,131.507
2022,7,2,mick_schumacher,15,130.806
2022,7,2,albon,16,129.667
2022,7,2,zhou,17,119.961
2022,7,2,gasly,18,154.889
2022,7,2,stroll,19,136.63400000000001
2022,7,2,latifi,20,129.418
2022,7,3,leclerc,1,103.218
2022,7,3,sainz,2,104.32300000000001
2022,7,3,perez,3,104.57
2022,7,3,max_verstappen,4,105.60300000000001
2022,7,3,norris,5,106.28999999999999
2022,7,3,russell,6,106.52000000000001
2022,7,3,alonso,7,106.608
2022,7,3,hamilton,8,106.997
2022,7,3,vettel,9,107.544
2022,7,3,ocon,10,108.949
2022,7,3,tsunoda,11,109.02799999999999
2022,7,3,bottas,12,109.26599999999999
2022,7,3,kevin_magnussen,13,108.904
2022,7,3,ricciardo,14,109.054
2022,7,3,mick_schumacher,15,109.408
2022,7,3,albon,16,108.888
2022,7,3,zhou,17,108.077
2022,7,3,gasly,18,103.994
2022,7,3,stroll,19,108.179
2022,7,3,latifi,20,105.134
2022,7,4,leclerc,1,101.88499999999999
2022,7,4,sainz,2,101.995
2022,7,4,perez,3,102.37700000000001
2022,7,4,max_verstappen,4,101.426
2022,7,4,norris,5,102.012
2022,7,4,russell,6,102.52000000000001
2022,7,4,alonso,7,102.916
2022,7,4,hamilton,8,103.309
2022,7,4,vettel,9,104.206
2022,7,4,ocon,10,104.686
2022,7,4,tsunoda,11,105.664
2022,7,4,bottas,12,105.43299999999999
2022,7,4,kevin_magnussen,13,105.374
2022,7,4,ricciardo,14,105.83500000000001
2022,7,4,albon,15,105.755
2022,7,4,zhou,16,105.705
2022,7,4,mick_schumacher,17,123.868
2022,7,4,gasly,18,102.417
2022,7,4,stroll,19,103.17099999999999
2022,7,4,latifi,20,104.039
2022,7,5,leclerc,1,99.679
2022,7,5,sainz,2,100.205
2022,7,5,perez,3,100.229
2022,7,5,max_verstappen,4,100.918
2022,7,5,norris,5,101.122
2022,7,5,russell,6,100.64
2022,7,5,alonso,7,101.549
2022,7,5,hamilton,8,101.762
2022,7,5,vettel,9,101.781
2022,7,5,ocon,10,103.14
2022,7,5,tsunoda,11,103.941
2022,7,5,bottas,12,103.769
2022,7,5,kevin_magnussen,13,103.99600000000001
2022,7,5,ricciardo,14,103.564
2022,7,5,albon,15,103.313
2022,7,5,zhou,16,103.285
2022,7,5,gasly,17,99.431
2022,7,5,mick_schumacher,18,103.339
2022,7,5,stroll,19,101.963
2022,7,5,latifi,20,100.616
