year,round,lap,driver,position,laptime
2022,2,1,perez,1,95.991
2022,2,1,leclerc,2,97.088
2022,2,1,max_verstappen,3,98.082
2022,2,1,sainz,4,98.63499999999999
2022,2,1,ocon,5,99.9
2022,2,1,russell,6,100.42099999999999
2022,2,1,alonso,7,101.458
2022,2,1,bottas,8,102.12299999999999
2022,2,1,kevin_magnussen,9,102.705
2022,2,1,gasly,10,103.106
2022,2,1,norris,11,103.333
2022,2,1,stroll,12,103.828
2022,2,1,ricciardo,13,104.274
2022,2,1,hamilton,14,104.788
2022,2,1,albon,15,105.023
2022,2,1,hulkenberg,16,105.803
2022,2,1,latifi,17,106.37700000000001
2022,2,1,zhou,18,106.52000000000001
2022,2,2,perez,1,94.72200000000001
2022,2,2,leclerc,2,94.943
2022,2,2,max_verstappen,3,95.275
2022,2,2,sainz,4,95.499
2022,2,2,ocon,5,96.476
2022,2,2,russell,6,96.46600000000001
2022,2,2,alonso,7,97.232
2022,2,2,bottas,8,97.201
2022,2,2,kevin_magnussen,9,97.501
2022,2,2,norris,10,98.03
2022,2,2,gasly,11,98.899
2022,2,2,stroll,12,98.731
2022,2,2,ricciardo,13,98.749
2022,2,2,hamilton,14,98.649
2022,2,2,albon,15,99.12899999999999
2022,2,2,hulkenberg,16,99.035
2022,2,2,zhou,17,98.663
2022,2,2,latifi,18,100.289
2022,2,3,perez,1,94.596
2022,2,3,leclerc,2,94.794
2022,2,3,max_verstappen,3,94.89
2022,2,3,sainz,4,95.46000000000001
2022,2,3,russell,5,96.513
2022,2,3,ocon,6,97.306
2022,2,3,alonso,7,96.574
2022,2,3,bottas,8,96.28999999999999
2022,2,3,kevin_magnussen,9,96.83
2022,2,3,norris,10,97.08
2022,2,3,gasly,11,96.881
2022,2,3,stroll,12,97.586
2022,2,3,ricciardo,13,97.376
2022,2,3,hamilton,14,97.618
2022,2,3,albon,15,97.86
2022,2,3,zhou,16,97.564
2022,2,3,hulkenberg,17,98.064
2022,2,3,latifi,18,98.12100000000001
2022,2,4,perez,1,94.44
2022,2,4,leclerc,2,94.65100000000001
2022,2,4,max_verstappen,3,94.7
2022,2,4,sainz,4,95.321
2022,2,4,russell,5,96.34100000000001
2022,2,4,ocon,6,97.375
2022,2,4,alonso,7,96.113
2022,2,4,bottas,8,96.674
2022,2,4,kevin_magnussen,9,96.837
2022,2,4,gasly,10,97.74600000000001
2022,2,4,norris,11,98.326
2022,2,4,stroll,12,97.575
2022,2,4,ricciardo,13,97.675
2022,2,4,hamilton,14,97.706
2022,2,4,albon,15,98.26400000000001
2022,2,4,zhou,16,97.63900000000001
2022,2,4,hulkenberg,17,98.357
2022,2,4,latifi,18,98.161
2022,2,5,perez,1,94.49600000000001
2022,2,5,leclerc,2,95.156
2022,2,5,max_verstappen,3,94.809
2022,2,5,sainz,4,95.124
2022,2,5,russell,5,96.096
2022,2,5,ocon,6,96.156
2022,2,5,alonso,7,96.191
2022,2,5,bottas,8,97.613
2022,2,5,kevin_magnussen,9,96.968
2022,2,5,gasly,10,96.98400000000001
2022,2,5,norris,11,98.312
2022,2,5,stroll,12,97.87
2022,2,5,ricciardo,13,98.13
2022,2,5,hamilton,14,97.98400000000001
2022,2,5,zhou,15,98.40899999999999
2022,2,5,albon,16,99.143
2022,2,5,hulkenberg,17,98.50399999999999
2022,2,5,latifi,18,98.662
2022,2,6,perez,1,94.481
2022,2,6,leclerc,2,94.58500000000001
2022,2,6,max_verstappen,3,94.84
2022,2,6,sainz,4,95.16499999999999
2022,2,6,russell,5,96.24600000000001
2022,2,6,ocon,6,96.203
2022,2,6,alonso,7,96.083
2022,2,6,bottas,8,95.993
2022,2,6,kevin_magnussen,9,96.843
2022,2,6,gasly,10,96.819
