year,round,lap,driver,position,laptime
2022,17,1,perez,1,125.369
2022,17,1,leclerc,2,126.402
2022,17,1,sainz,3,128.353
2022,17,1,hamilton,4,130.437
2022,17,1,norris,5,132.029
2022,17,1,alonso,6,132.818
2022,17,1,gasly,7,134.359
2022,17,1,vettel,8,135.374
2022,17,1,tsunoda,9,136.171
2022,17,1,stroll,10,137.575
2022,17,1,kevin_magnussen,11,138.153
2022,17,1,max_verstappen,12,138.601
2022,17,1,ricciardo,13,139.234
2022,17,1,mick_schumacher,14,140.04
2022,17,1,ocon,15,140.797
2022,17,1,bottas,16,141.779
2022,17,1,latifi,17,143.807
2022,17,1,zhou,18,144.151
2022,17,1,russell,19,144.57
2022,17,1,albon,20,145.32999999999998
2022,17,2,perez,1,121.358
2022,17,2,leclerc,2,121.214
2022,17,2,sainz,3,122.702
2022,17,2,hamilton,4,122.92
2022,17,2,norris,5,124.065
2022,17,2,alonso,6,124.847
2022,17,2,gasly,7,125.132
2022,17,2,vettel,8,125.79
2022,17,2,tsunoda,9,126.485
2022,17,2,max_verstappen,10,124.389
2022,17,2,stroll,11,128.661
2022,17,2,kevin_magnussen,12,128.617
2022,17,2,ricciardo,13,128.435
2022,17,2,mick_schumacher,14,128.586
2022,17,2,ocon,15,128.739
2022,17,2,bottas,16,129.037
2022,17,2,latifi,17,129.155
2022,17,2,russell,18,128.743
2022,17,2,zhou,19,129.958
2022,17,2,albon,20,129.436
2022,17,3,perez,1,120.875
2022,17,3,leclerc,2,120.939
2022,17,3,sainz,3,121.872
2022,17,3,hamilton,4,121.712
2022,17,3,norris,5,122.717
2022,17,3,alonso,6,123.306
2022,17,3,gasly,7,123.844
2022,17,3,vettel,8,124.098
2022,17,3,max_verstappen,9,123.369
2022,17,3,tsunoda,10,125.476
2022,17,3,stroll,11,125.367
2022,17,3,kevin_magnussen,12,125.679
2022,17,3,ricciardo,13,125.767
2022,17,3,mick_schumacher,14,125.628
2022,17,3,ocon,15,126.079
2022,17,3,bottas,16,126.307
2022,17,3,latifi,17,127.657
2022,17,3,russell,18,127.696
2022,17,3,zhou,19,127.541
2022,17,3,albon,20,127.765
2022,17,4,perez,1,120.31
2022,17,4,leclerc,2,120.734
2022,17,4,sainz,3,121.488
2022,17,4,hamilton,4,121.585
2022,17,4,norris,5,122.313
2022,17,4,alonso,6,122.935
2022,17,4,gasly,7,123.402
2022,17,4,vettel,8,123.184
2022,17,4,max_verstappen,9,123.238
2022,17,4,tsunoda,10,124.333
2022,17,4,stroll,11,124.71
2022,17,4,kevin_magnussen,12,124.881
2022,17,4,ricciardo,13,124.551
2022,17,4,mick_schumacher,14,124.531
2022,17,4,ocon,15,124.482
2022,17,4,bottas,16,125.3
2022,17,4,russell,17,124.604
2022,17,4,latifi,18,126.887
2022,17,4,zhou,19,126.289
2022,17,4,albon,20,126.625
2022,17,5,perez,1,120.267
2022,17,5,leclerc,2,120.219
2022,17,5,sainz,3,121.111
2022,17,5,hamilton,4,121.454
2022,17,5,norris,5,122.322
2022,17,5,alonso,6,122.858
2022,17,5,gasly,7,123.659
2022,17,5,vettel,8,123.366
2022,17,5,max_verstappen,9,122.703
2022,17,5,tsunoda,10,123.862
2022,17,5,stroll,11,124.403
2022,17,5,kevin_magnussen,12,124.36
2022,17,5,ricciardo,13,124.656
2022,17,5,mick_schumacher,14,124.601
2022,17,5,ocon,15,124.592
2022,17,5,bottas,16,124.635
2022,17,5,russell,17,122.566
2022,17,5,latifi,18,125.585
2022,17,5,zhou,19,125.556
2022,17,5,albon,20,125.513
