year,round,lap,driver,position,laptime
2022,6,1,leclerc,1,88.746
2022,6,1,max_verstappen,2,89.739
2022,6,1,russell,3,90.987
2022,6,1,perez,4,92.215
2022,6,1,sainz,5,92.878
2022,6,1,mick_schumacher,6,94.018
2022,6,1,bottas,7,94.684
2022,6,1,ricciardo,8,95.429
2022,6,1,ocon,9,95.905
2022,6,1,norris,10,96.471
2022,6,1,tsunoda,11,97.032
2022,6,1,gasly,12,97.53999999999999
2022,6,1,vettel,13,97.914
2022,6,1,stroll,14,98.434
2022,6,1,alonso,15,99.12299999999999
2022,6,1,albon,16,99.503
2022,6,1,zhou,17,99.84
2022,6,1,latifi,18,100.512
2022,6,1,hamilton,19,115.14699999999999
2022,6,1,kevin_magnussen,20,135.888
2022,6,2,leclerc,1,87.627
2022,6,2,max_verstappen,2,87.509
2022,6,2,russell,3,87.831
2022,6,2,perez,4,87.791
2022,6,2,sainz,5,88.431
2022,6,2,mick_schumacher,6,89.013
2022,6,2,bottas,7,89.46000000000001
2022,6,2,ricciardo,8,89.663
2022,6,2,ocon,9,89.962
2022,6,2,norris,10,90.31700000000001
2022,6,2,tsunoda,11,90.60300000000001
2022,6,2,gasly,12,90.898
2022,6,2,vettel,13,90.959
2022,6,2,stroll,14,91.063
2022,6,2,alonso,15,90.932
2022,6,2,albon,16,91.252
2022,6,2,zhou,17,91.212
2022,6,2,latifi,18,91.197
2022,6,2,hamilton,19,115.134
2022,6,2,kevin_magnussen,20,113.833
2022,6,3,leclerc,1,87.19800000000001
2022,6,3,max_verstappen,2,87.574
2022,6,3,russell,3,87.9
2022,6,3,perez,4,87.94200000000001
2022,6,3,sainz,5,88.145
2022,6,3,mick_schumacher,6,89.32900000000001
2022,6,3,bottas,7,88.709
2022,6,3,ricciardo,8,89.28
2022,6,3,ocon,9,89.434
2022,6,3,norris,10,89.87
2022,6,3,tsunoda,11,89.864
2022,6,3,gasly,12,89.831
2022,6,3,vettel,13,90.09
2022,6,3,stroll,14,90.49
2022,6,3,alonso,15,90.57300000000001
2022,6,3,zhou,16,90.169
2022,6,3,albon,17,91.561
2022,6,3,latifi,18,91.102
2022,6,3,hamilton,19,87.495
2022,6,3,kevin_magnussen,20,87.537
2022,6,4,leclerc,1,87.67099999999999
2022,6,4,max_verstappen,2,87.601
2022,6,4,russell,3,88.17699999999999
2022,6,4,perez,4,88.119
2022,6,4,sainz,5,88.127
2022,6,4,bottas,6,88.499
2022,6,4,mick_schumacher,7,90.6
2022,6,4,ricciardo,8,89.651
2022,6,4,ocon,9,89.087
2022,6,4,norris,10,89.64699999999999
2022,6,4,tsunoda,11,89.457
2022,6,4,gasly,12,89.589
2022,6,4,vettel,13,89.876
2022,6,4,stroll,14,89.97800000000001
2022,6,4,alonso,15,89.627
2022,6,4,zhou,16,89.824
2022,6,4,albon,17,90.224
2022,6,4,latifi,18,90.425
2022,6,4,hamilton,19,88.327
2022,6,4,kevin_magnussen,20,87.693
2022,6,5,leclerc,1,87.89099999999999
2022,6,5,max_verstappen,2,87.937
2022,6,5,russell,3,88.503
2022,6,5,perez,4,88.53399999999999
2022,6,5,sainz,5,88.385
2022,6,5,bottas,6,88.999
2022,6,5,mick_schumacher,7,90.017
2022,6,5,ocon,8,88.992
2022,6,5,ricciardo,9,90.979
2022,6,5,norris,10,89.91499999999999
2022,6,5,tsunoda,11,90.038
2022,6,5,gasly,12,89.981
2022,6,5,vettel,13,90.074
