year,round,lap,driver,position,laptime
2022,21,1,russell,1,88.575
2022,21,1,hamilton,2,90.833
2022,21,1,max_verstappen,3,92.564
2022,21,1,perez,4,93.60300000000001
2022,21,1,norris,5,96.436
2022,21,1,leclerc,6,97.37700000000001
2022,21,1,sainz,7,99.095
2022,21,1,vettel,8,101.404
2022,21,1,gasly,9,102.12899999999999
2022,21,1,mick_schumacher,10,103.315
2022,21,1,bottas,11,104.67
2022,21,1,stroll,12,105.38900000000001
2022,21,1,zhou,13,106.561
2022,21,1,ocon,14,108.37
2022,21,1,alonso,15,110.726
2022,21,1,latifi,16,111.636
2022,21,1,albon,17,112.761
2022,21,1,tsunoda,18,114.92099999999999
2022,21,2,russell,1,116.346
2022,21,2,hamilton,2,114.74799999999999
2022,21,2,max_verstappen,3,114.095
2022,21,2,perez,4,114.096
2022,21,2,norris,5,113.78399999999999
2022,21,2,leclerc,6,113.672
2022,21,2,sainz,7,112.707
2022,21,2,vettel,8,111.80199999999999
2022,21,2,gasly,9,112.007
2022,21,2,mick_schumacher,10,111.77199999999999
2022,21,2,bottas,11,111.493
2022,21,2,stroll,12,111.88900000000001
2022,21,2,zhou,13,111.893
2022,21,2,ocon,14,111.72
2022,21,2,alonso,15,112.539
2022,21,2,latifi,16,112.587
2022,21,2,albon,17,112.39
2022,21,2,tsunoda,18,111.324
2022,21,3,russell,1,119.96600000000001
2022,21,3,hamilton,2,120.447
2022,21,3,max_verstappen,3,119.616
2022,21,3,perez,4,119.735
2022,21,3,norris,5,118.193
2022,21,3,leclerc,6,118.265
2022,21,3,sainz,7,119.094
2022,21,3,vettel,8,119.271
2022,21,3,gasly,9,119.65
2022,21,3,mick_schumacher,10,119.67699999999999
2022,21,3,bottas,11,119.56
2022,21,3,stroll,12,119.37700000000001
2022,21,3,zhou,13,119.282
2022,21,3,ocon,14,118.84700000000001
2022,21,3,alonso,15,117.21600000000001
2022,21,3,latifi,16,117.449
2022,21,3,albon,17,117.968
2022,21,3,tsunoda,18,117.616
2022,21,4,russell,1,119.23400000000001
2022,21,4,hamilton,2,119.697
2022,21,4,max_verstappen,3,120.947
2022,21,4,perez,4,121.807
2022,21,4,norris,5,121.454
2022,21,4,leclerc,6,122.323
2022,21,4,sainz,7,122.359
2022,21,4,vettel,8,121.932
2022,21,4,gasly,9,121.578
2022,21,4,mick_schumacher,10,121.453
2022,21,4,bottas,11,121.619
2022,21,4,stroll,12,121.509
2022,21,4,zhou,13,122.146
2022,21,4,ocon,14,122.185
2022,21,4,alonso,15,121.527
2022,21,4,latifi,16,122.448
2022,21,4,tsunoda,17,121.059
2022,21,4,albon,18,124.054
2022,21,5,russell,1,114.429
2022,21,5,hamilton,2,114.039
2022,21,5,max_verstappen,3,113.381
2022,21,5,perez,4,114.76400000000001
2022,21,5,norris,5,116.369
2022,21,5,leclerc,6,115.543
2022,21,5,sainz,7,115.02199999999999
2022,21,5,vettel,8,115.348
2022,21,5,gasly,9,115.77199999999999
2022,21,5,mick_schumacher,10,115.97800000000001
2022,21,5,bottas,11,115.893
2022,21,5,stroll,12,115.846
2022,21,5,zhou,13,115.227
2022,21,5,ocon,14,114.782
2022,21,5,alonso,15,115.247
2022,21,5,latifi,16,114.96000000000001
2022,21,5,tsunoda,17,115.424
2022,21,5,albon,18,115.02600000000001
2022,21,6,russell,1,125.656
2022,21,6,hamilton,2,124.765
2022,21,6,max_verstappen,3,124.049
2022,21,6,perez,4,120.838
2022,21,6,norris,5,119.119
2022,21,6,leclerc,6,118.36500000000001
2022,21,6,sainz,7,117.594
2022,21,6,vettel,8,116.35
2022,21,6,gasly,9,115.164
2022,21,6,mick_schumacher,10,114.43
