year,round,lap,driver,position,laptime
2023,4,1,leclerc,1,110.10900000000001
2023,4,1,max_verstappen,2,110.456
2023,4,1,perez,3,111.37299999999999
2023,4,1,sainz,4,112.64500000000001
2023,4,1,hamilton,5,113.406
2023,4,1,alonso,6,114.00200000000001
2023,4,1,stroll,7,114.568
2023,4,1,norris,8,115.413
2023,4,1,russell,9,116.394
2023,4,1,tsunoda,10,117.17
2023,4,1,piastri,11,117.51599999999999
2023,4,1,albon,12,118.185
2023,4,1,kevin_magnussen,13,118.715
2023,4,1,sargeant,14,118.97999999999999
2023,4,1,gasly,15,119.785
2023,4,1,zhou,16,120.491
2023,4,1,de_vries,17,121.057
2023,4,1,bottas,18,122.059
2023,4,1,ocon,19,122.501
2023,4,1,hulkenberg,20,122.623
2023,4,2,leclerc,1,107.656
2023,4,2,max_verstappen,2,107.707
2023,4,2,perez,3,107.717
2023,4,2,sainz,4,107.774
2023,4,2,hamilton,5,108.16499999999999
2023,4,2,alonso,6,108.064
2023,4,2,stroll,7,108.40899999999999
2023,4,2,norris,8,108.739
2023,4,2,russell,9,108.818
2023,4,2,tsunoda,10,109.181
2023,4,2,piastri,11,109.527
2023,4,2,albon,12,109.72800000000001
2023,4,2,kevin_magnussen,13,110.168
2023,4,2,sargeant,14,110.14699999999999
2023,4,2,gasly,15,109.99000000000001
2023,4,2,zhou,16,110.144
2023,4,2,de_vries,17,110.431
2023,4,2,bottas,18,110.064
2023,4,2,ocon,19,110.023
2023,4,2,hulkenberg,20,110.227
2023,4,3,max_verstappen,1,107.67699999999999
2023,4,3,leclerc,2,108.15100000000001
2023,4,3,perez,3,107.657
2023,4,3,sainz,4,107.928
2023,4,3,hamilton,5,107.602
2023,4,3,alonso,6,107.782
2023,4,3,stroll,7,107.753
2023,4,3,norris,8,108.094
2023,4,3,russell,9,107.908
2023,4,3,tsunoda,10,108.529
2023,4,3,piastri,11,108.452
2023,4,3,albon,12,108.815
2023,4,3,kevin_magnussen,13,108.62899999999999
2023,4,3,sargeant,14,109.098
2023,4,3,gasly,15,109.075
2023,4,3,zhou,16,109.313
2023,4,3,de_vries,17,109.36500000000001
2023,4,3,bottas,18,109.439
2023,4,3,ocon,19,109.485
2023,4,3,hulkenberg,20,110.09700000000001
2023,4,4,max_verstappen,1,107.108
2023,4,4,leclerc,2,107.96600000000001
2023,4,4,perez,3,107.404
2023,4,4,sainz,4,107.898
2023,4,4,hamilton,5,107.75999999999999
2023,4,4,alonso,6,107.912
2023,4,4,stroll,7,107.914
2023,4,4,norris,8,108.096
2023,4,4,russell,9,108.25200000000001
2023,4,4,tsunoda,10,108.477
2023,4,4,piastri,11,109.00200000000001
2023,4,4,albon,12,109.00399999999999
2023,4,4,kevin_magnussen,13,108.91499999999999
2023,4,4,sargeant,14,108.85
2023,4,4,gasly,15,108.87299999999999
2023,4,4,zhou,16,109.096
2023,4,4,de_vries,17,108.781
2023,4,4,bottas,18,108.99199999999999
2023,4,4,ocon,19,109.023
2023,4,4,hulkenberg,20,108.731
2023,4,5,max_verstappen,1,107.476
2023,4,5,leclerc,2,107.757
2023,4,5,perez,3,107.61500000000001
2023,4,5,sainz,4,107.87700000000001
2023,4,5,hamilton,5,107.791
2023,4,5,alonso,6,107.899
2023,4,5,stroll,7,107.689
2023,4,5,norris,8,108.08
2023,4,5,russell,9,108.443
2023,4,5,tsunoda,10,108.59899999999999
2023,4,5,piastri,11,108.298
2023,4,5,albon,12,108.689
2023,4,5,kevin_magnussen,13,109.02799999999999
2023,4,5,sargeant,14,108.875
2023,4,5,zhou,15,109.152
2023,4,5,de_vries,16,108.94800000000001
2023,4,5,bottas,17,109.019
2023,4,5,ocon,18,109.005
2023,4,5,gasly,19,113.152
2023,4,5,hulkenberg,20,109.331
