year,round,lap,driver,position,laptime
2023,1,1,max_verstappen,1,99.019
2023,1,1,leclerc,2,100.22999999999999
2023,1,1,perez,3,101.063
2023,1,1,sainz,4,101.65899999999999
2023,1,1,hamilton,5,102.288
2023,1,1,russell,6,102.662
2023,1,1,alonso,7,103.608
2023,1,1,bottas,8,104.154
2023,1,1,stroll,9,104.67
2023,1,1,norris,10,105.364
2023,1,1,ocon,11,105.967
2023,1,1,albon,12,106.453
2023,1,1,sargeant,13,106.85499999999999
2023,1,1,hulkenberg,14,107.339
2023,1,1,tsunoda,15,107.791
2023,1,1,piastri,16,108.214
2023,1,1,zhou,17,108.467
2023,1,1,kevin_magnussen,18,109.33
2023,1,1,gasly,19,109.649
2023,1,1,de_vries,20,109.959
2023,1,2,max_verstappen,1,97.97399999999999
2023,1,2,leclerc,2,98.75
2023,1,2,perez,3,98.862
2023,1,2,sainz,4,98.93299999999999
2023,1,2,hamilton,5,99.166
2023,1,2,russell,6,99.59
2023,1,2,alonso,7,99.792
2023,1,2,bottas,8,99.956
2023,1,2,stroll,9,99.892
2023,1,2,norris,10,100.43299999999999
2023,1,2,ocon,11,100.408
2023,1,2,albon,12,100.43
2023,1,2,sargeant,13,100.467
2023,1,2,hulkenberg,14,100.72
2023,1,2,tsunoda,15,100.837
2023,1,2,piastri,16,100.83
2023,1,2,zhou,17,101.09100000000001
2023,1,2,gasly,18,100.438
2023,1,2,kevin_magnussen,19,101.521
2023,1,2,de_vries,20,101.289
2023,1,3,max_verstappen,1,98.006
2023,1,3,leclerc,2,98.658
2023,1,3,perez,3,98.83
2023,1,3,sainz,4,99.042
2023,1,3,hamilton,5,99.22
2023,1,3,russell,6,99.093
2023,1,3,alonso,7,99.1
2023,1,3,bottas,8,99.39699999999999
2023,1,3,stroll,9,99.625
2023,1,3,norris,10,99.777
2023,1,3,ocon,11,99.94800000000001
2023,1,3,albon,12,100.143
2023,1,3,sargeant,13,100.34899999999999
2023,1,3,hulkenberg,14,100.48400000000001
2023,1,3,tsunoda,15,100.243
2023,1,3,piastri,16,100.691
2023,1,3,zhou,17,100.596
2023,1,3,gasly,18,100.643
2023,1,3,de_vries,19,100.914
2023,1,3,kevin_magnussen,20,101.97800000000001
