year,round,lap,driver,position,laptime
2023,10,1,norris,1,96.551
2023,10,1,max_verstappen,2,97.167
2023,10,1,piastri,3,97.773
2023,10,1,leclerc,4,98.3
2023,10,1,russell,5,98.65100000000001
2023,10,1,sainz,6,99.28399999999999
2023,10,1,alonso,7,100.02600000000001
2023,10,1,hamilton,8,100.664
2023,10,1,gasly,9,101.01400000000001
2023,10,1,albon,10,101.364
2023,10,1,stroll,11,102.049
2023,10,1,ocon,12,102.51599999999999
2023,10,1,tsunoda,13,103.16499999999999
2023,10,1,hulkenberg,14,103.503
2023,10,1,sargeant,15,103.792
2023,10,1,perez,16,104.033
2023,10,1,de_vries,17,104.444
2023,10,1,bottas,18,104.975
2023,10,1,zhou,19,105.239
2023,10,1,kevin_magnussen,20,105.771
2023,10,2,norris,1,93.04599999999999
2023,10,2,max_verstappen,2,93.43299999999999
2023,10,2,piastri,3,93.845
2023,10,2,leclerc,4,93.994
2023,10,2,russell,5,94.11500000000001
2023,10,2,sainz,6,94.17699999999999
2023,10,2,alonso,7,94.419
2023,10,2,hamilton,8,94.36099999999999
2023,10,2,gasly,9,94.706
2023,10,2,albon,10,95.00399999999999
2023,10,2,stroll,11,95.093
2023,10,2,ocon,12,95.22999999999999
2023,10,2,tsunoda,13,95.25200000000001
2023,10,2,hulkenberg,14,95.277
2023,10,2,perez,15,95.482
2023,10,2,sargeant,16,96.26599999999999
2023,10,2,de_vries,17,96.208
2023,10,2,zhou,18,95.912
2023,10,2,bottas,19,96.741
2023,10,2,kevin_magnussen,20,96.337
2023,10,3,norris,1,93.18
2023,10,3,max_verstappen,2,92.72999999999999
2023,10,3,piastri,3,92.499
2023,10,3,leclerc,4,92.934
2023,10,3,russell,5,93.096
2023,10,3,sainz,6,93.456
2023,10,3,alonso,7,93.424
2023,10,3,hamilton,8,93.662
2023,10,3,gasly,9,93.60499999999999
2023,10,3,albon,10,93.809
2023,10,3,stroll,11,94.021
2023,10,3,ocon,12,94.113
2023,10,3,tsunoda,13,94.229
2023,10,3,hulkenberg,14,94.53
2023,10,3,perez,15,94.38
2023,10,3,sargeant,16,94.577
2023,10,3,de_vries,17,94.74600000000001
2023,10,3,zhou,18,94.679
2023,10,3,bottas,19,94.86500000000001
2023,10,3,kevin_magnussen,20,95.169
2023,10,4,norris,1,92.77199999999999
2023,10,4,max_verstappen,2,92.78
2023,10,4,piastri,3,92.581
2023,10,4,leclerc,4,92.961
2023,10,4,russell,5,93.084
2023,10,4,sainz,6,92.975
2023,10,4,alonso,7,93.156
2023,10,4,hamilton,8,93.086
2023,10,4,gasly,9,93.34899999999999
2023,10,4,albon,10,93.866
2023,10,4,stroll,11,93.799
2023,10,4,ocon,12,93.941
2023,10,4,tsunoda,13,94.362
2023,10,4,hulkenberg,14,94.354
2023,10,4,perez,15,94.339
2023,10,4,sargeant,16,94.332
2023,10,4,de_vries,17,94.199
2023,10,4,zhou,18,94.408
2023,10,4,bottas,19,94.61099999999999
2023,10,4,kevin_magnussen,20,94.731
2023,10,5,max_verstappen,1,92.582
2023,10,5,norris,2,93.914
2023,10,5,piastri,3,93.461
2023,10,5,leclerc,4,94.40899999999999
2023,10,5,russell,5,94.211
2023,10,5,sainz,6,93.666
2023,10,5,alonso,7,94.157
2023,10,5,hamilton,8,93.718
2023,10,5,gasly,9,93.863
2023,10,5,albon,10,93.86
2023,10,5,stroll,11,93.856
2023,10,5,ocon,12,93.946
2023,10,5,tsunoda,13,94.457
2023,10,5,perez,14,94.07300000000001
2023,10,5,hulkenberg,15,95.588
2023,10,5,sargeant,16,94.842
2023,10,5,de_vries,17,94.761
2023,10,5,zhou,18,94.73599999999999
2023,10,5,bottas,19,94.804
2023,10,5,kevin_magnussen,20,94.598
