year,round,lap,driver,position,laptime
2023,8,1,max_verstappen,1,83.08
2023,8,1,hamilton,2,83.97800000000001
2023,8,1,alonso,3,84.892
2023,8,1,russell,4,85.376
2023,8,1,ocon,5,86.367
2023,8,1,hulkenberg,6,87.105
2023,8,1,piastri,7,87.463
2023,8,1,norris,8,88.099
2023,8,1,leclerc,9,88.596
2023,8,1,albon,10,89.175
2023,8,1,sainz,11,90.282
2023,8,1,perez,12,90.73400000000001
2023,8,1,gasly,13,91.271
2023,8,1,stroll,14,91.721
2023,8,1,kevin_magnussen,15,92.02600000000001
2023,8,1,bottas,16,92.12
2023,8,1,de_vries,17,92.51599999999999
2023,8,1,sargeant,18,93.033
2023,8,1,zhou,19,93.913
2023,8,1,tsunoda,20,109.27600000000001
2023,8,2,max_verstappen,1,78.075
2023,8,2,hamilton,2,78.39699999999999
2023,8,2,alonso,3,78.599
2023,8,2,russell,4,78.882
2023,8,2,ocon,5,79.331
2023,8,2,hulkenberg,6,79.51
2023,8,2,piastri,7,79.753
2023,8,2,norris,8,79.916
2023,8,2,leclerc,9,79.777
2023,8,2,albon,10,79.63
2023,8,2,sainz,11,78.944
2023,8,2,perez,12,79.273
2023,8,2,gasly,13,79.34
2023,8,2,stroll,14,79.60900000000001
2023,8,2,kevin_magnussen,15,80.354
2023,8,2,bottas,16,80.588
2023,8,2,de_vries,17,80.694
2023,8,2,sargeant,18,80.814
2023,8,2,zhou,19,80.515
2023,8,2,tsunoda,20,82.407
2023,8,3,max_verstappen,1,77.767
2023,8,3,hamilton,2,77.732
2023,8,3,alonso,3,77.438
2023,8,3,russell,4,77.996
2023,8,3,ocon,5,78.462
2023,8,3,hulkenberg,6,78.703
2023,8,3,piastri,7,78.489
2023,8,3,norris,8,78.491
2023,8,3,leclerc,9,78.52799999999999
2023,8,3,albon,10,78.618
2023,8,3,sainz,11,78.86
2023,8,3,perez,12,78.51
2023,8,3,gasly,13,78.7
2023,8,3,stroll,14,78.385
2023,8,3,kevin_magnussen,15,78.742
2023,8,3,bottas,16,78.791
2023,8,3,de_vries,17,78.857
2023,8,3,sargeant,18,79.105
2023,8,3,zhou,19,78.964
2023,8,3,tsunoda,20,78.117
2023,8,4,max_verstappen,1,77.203
2023,8,4,hamilton,2,77.55799999999999
2023,8,4,alonso,3,77.326
2023,8,4,russell,4,77.594
2023,8,4,ocon,5,78.494
2023,8,4,hulkenberg,6,78.696
2023,8,4,piastri,7,78.94
2023,8,4,norris,8,78.782
2023,8,4,leclerc,9,78.648
2023,8,4,albon,10,78.78
2023,8,4,sainz,11,78.57900000000001
2023,8,4,perez,12,78.656
2023,8,4,gasly,13,78.514
2023,8,4,stroll,14,78.693
2023,8,4,kevin_magnussen,15,78.19800000000001
2023,8,4,bottas,16,78.629
2023,8,4,de_vries,17,79.152
2023,8,4,sargeant,18,78.437
2023,8,4,zhou,19,78.749
2023,8,4,tsunoda,20,78.038
2023,8,5,max_verstappen,1,77.371
2023,8,5,hamilton,2,77.686
2023,8,5,alonso,3,77.594
2023,8,5,russell,4,77.64
2023,8,5,ocon,5,78.419
2023,8,5,hulkenberg,6,78.471
2023,8,5,piastri,7,78.182
2023,8,5,norris,8,78.33
2023,8,5,leclerc,9,78.708
2023,8,5,albon,10,78.422
2023,8,5,sainz,11,78.539
2023,8,5,perez,12,78.45
2023,8,5,gasly,13,78.963
2023,8,5,stroll,14,78.82900000000001
2023,8,5,kevin_magnussen,15,78.46600000000001
2023,8,5,bottas,16,79.44800000000001
2023,8,5,de_vries,17,79.34100000000001
2023,8,5,sargeant,18,79.517
2023,8,5,zhou,19,79.443
2023,8,5,tsunoda,20,78.051
