year,round,lap,driver,position,laptime
2023,2,1,alonso,1,96.851
2023,2,1,perez,2,97.257
2023,2,1,russell,3,98.652
2023,2,1,stroll,4,99.093
2023,2,1,sainz,5,99.413
2023,2,1,ocon,6,100.245
2023,2,1,hamilton,7,101.038
2023,2,1,gasly,8,102.172
2023,2,1,leclerc,9,103.306
2023,2,1,zhou,10,104.564
2023,2,1,kevin_magnussen,11,104.694
2023,2,1,hulkenberg,12,104.753
2023,2,1,max_verstappen,13,105.22200000000001
2023,2,1,tsunoda,14,105.589
2023,2,1,bottas,15,105.612
2023,2,1,albon,16,105.985
2023,2,1,norris,17,106.32300000000001
2023,2,1,de_vries,18,106.74000000000001
2023,2,1,piastri,19,107.25399999999999
2023,2,1,sargeant,20,107.26400000000001
2023,2,2,alonso,1,95.56700000000001
2023,2,2,perez,2,95.906
2023,2,2,russell,3,96.114
2023,2,2,stroll,4,96.324
2023,2,2,sainz,5,96.583
2023,2,2,ocon,6,97.006
2023,2,2,hamilton,7,97.188
2023,2,2,gasly,8,97.056
2023,2,2,leclerc,9,96.907
2023,2,2,zhou,10,96.61500000000001
2023,2,2,kevin_magnussen,11,97.219
2023,2,2,hulkenberg,12,97.67
2023,2,2,max_verstappen,13,97.68
2023,2,2,tsunoda,14,98.17099999999999
2023,2,2,bottas,15,98.763
2023,2,2,albon,16,98.916
2023,2,2,sargeant,17,99.426
2023,2,2,de_vries,18,100.74799999999999
2023,2,2,norris,19,103.07
2023,2,2,piastri,20,124.805
2023,2,3,alonso,1,95.14
2023,2,3,perez,2,94.82900000000001
2023,2,3,russell,3,95.3
2023,2,3,stroll,4,95.239
2023,2,3,sainz,5,95.354
2023,2,3,ocon,6,96.066
2023,2,3,hamilton,7,96.628
2023,2,3,gasly,8,96.044
2023,2,3,leclerc,9,95.825
2023,2,3,zhou,10,96.25999999999999
2023,2,3,kevin_magnussen,11,96.79599999999999
2023,2,3,hulkenberg,12,96.538
2023,2,3,max_verstappen,13,96.52600000000001
2023,2,3,tsunoda,14,97.15
2023,2,3,bottas,15,96.956
2023,2,3,albon,16,97.065
2023,2,3,sargeant,17,96.997
2023,2,3,de_vries,18,96.945
2023,2,3,piastri,19,95.634
2023,2,3,norris,20,123.534
2023,2,4,perez,1,95.65100000000001
2023,2,4,alonso,2,96.664
2023,2,4,russell,3,95.596
2023,2,4,stroll,4,95.56
2023,2,4,sainz,5,95.428
2023,2,4,ocon,6,95.729
2023,2,4,hamilton,7,96.263
2023,2,4,gasly,8,96.291
2023,2,4,leclerc,9,95.87100000000001
2023,2,4,zhou,10,96.35900000000001
2023,2,4,kevin_magnussen,11,97.098
2023,2,4,max_verstappen,12,96.503
2023,2,4,hulkenberg,13,97.593
2023,2,4,tsunoda,14,97.006
2023,2,4,bottas,15,97.211
2023,2,4,albon,16,96.913
2023,2,4,sargeant,17,96.844
2023,2,4,de_vries,18,96.84700000000001
2023,2,4,piastri,19,95.512
2023,2,4,norris,20,96.62700000000001
2023,2,5,perez,1,94.87299999999999
2023,2,5,alonso,2,94.92
2023,2,5,russell,3,95.423
2023,2,5,stroll,4,95.471
2023,2,5,sainz,5,95.43299999999999
2023,2,5,ocon,6,95.84899999999999
2023,2,5,hamilton,7,95.86699999999999
2023,2,5,gasly,8,95.973
2023,2,5,leclerc,9,96.275
2023,2,5,zhou,10,96.314
2023,2,5,max_verstappen,11,95.35900000000001
2023,2,5,kevin_magnussen,12,97.298
2023,2,5,hulkenberg,13,96.753
2023,2,5,tsunoda,14,96.705
2023,2,5,bottas,15,96.59700000000001
2023,2,5,albon,16,97.108
2023,2,5,sargeant,17,96.881
2023,2,5,de_vries,18,96.99199999999999
2023,2,5,piastri,19,95.662
2023,2,5,norris,20,95.929
