year,round,lap,driver,position,laptime
2022,3,1,leclerc,1,89.695
2022,3,1,max_verstappen,2,90.342
2022,3,1,hamilton,3,91.29599999999999
2022,3,1,perez,4,92.265
2022,3,1,russell,5,93.325
2022,3,1,norris,6,94.05
2022,3,1,ricciardo,7,94.55799999999999
2022,3,1,ocon,8,95.268
2022,3,1,gasly,9,96.461
2022,3,1,alonso,10,97.13499999999999
2022,3,1,tsunoda,11,97.589
2022,3,1,bottas,12,98.10900000000001
2022,3,1,mick_schumacher,13,98.50200000000001
2022,3,1,sainz,14,99.02799999999999
2022,3,1,zhou,15,99.232
2022,3,1,kevin_magnussen,16,99.709
2022,3,1,vettel,17,100.136
2022,3,1,latifi,18,100.84
2022,3,1,stroll,19,101.235
2022,3,1,albon,20,101.69
2022,3,2,leclerc,1,84.746
2022,3,2,max_verstappen,2,84.831
2022,3,2,hamilton,3,85.455
2022,3,2,perez,4,85.28999999999999
2022,3,2,russell,5,85.459
2022,3,2,norris,6,85.94200000000001
2022,3,2,ricciardo,7,86.362
2022,3,2,ocon,8,86.73400000000001
2022,3,2,gasly,9,86.622
2022,3,2,alonso,10,87.059
2022,3,2,tsunoda,11,87.259
2022,3,2,bottas,12,87.593
2022,3,2,mick_schumacher,13,87.769
2022,3,2,zhou,14,88.015
2022,3,2,kevin_magnussen,15,88.121
2022,3,2,vettel,16,88.34
2022,3,2,latifi,17,88.794
2022,3,2,stroll,18,88.934
2022,3,2,albon,19,89.169
2022,3,3,leclerc,1,103.345
2022,3,3,max_verstappen,2,106.175
2022,3,3,hamilton,3,108.98599999999999
2022,3,3,perez,4,110.369
2022,3,3,russell,5,110.99199999999999
2022,3,3,norris,6,111.392
2022,3,3,ricciardo,7,111.45
2022,3,3,ocon,8,111.376
2022,3,3,gasly,9,112.958
2022,3,3,alonso,10,113.519
2022,3,3,tsunoda,11,113.731
2022,3,3,bottas,12,113.773
2022,3,3,mick_schumacher,13,113.78399999999999
2022,3,3,zhou,14,114.475
2022,3,3,kevin_magnussen,15,114.62299999999999
2022,3,3,vettel,16,115.92
2022,3,3,latifi,17,115.664
2022,3,3,albon,18,115.834
2022,3,3,stroll,19,128.743
2022,3,4,leclerc,1,135.102
2022,3,4,max_verstappen,2,134.272
2022,3,4,hamilton,3,133.414
2022,3,4,perez,4,132.427
2022,3,4,russell,5,132.797
2022,3,4,norris,6,133.526
2022,3,4,ricciardo,7,134.054
2022,3,4,ocon,8,134.223
2022,3,4,gasly,9,133.647
2022,3,4,alonso,10,132.596
2022,3,4,tsunoda,11,132.434
2022,3,4,bottas,12,132.056
2022,3,4,mick_schumacher,13,132.243
2022,3,4,zhou,14,131.263
2022,3,4,kevin_magnussen,15,131.897
2022,3,4,vettel,16,132.726
2022,3,4,latifi,17,132.55
2022,3,4,albon,18,132.047
2022,3,4,stroll,19,133.522
2022,3,5,leclerc,1,134.936
2022,3,5,max_verstappen,2,133.529
2022,3,5,hamilton,3,132.374
2022,3,5,perez,4,133.14600000000002
2022,3,5,russell,5,133.679
2022,3,5,norris,6,133.615
2022,3,5,ricciardo,7,134.811
2022,3,5,ocon,8,135.309
2022,3,5,gasly,9,135.61599999999999
2022,3,5,alonso,10,136.328
2022,3,5,tsunoda,11,136.691
2022,3,5,bottas,12,137.071
2022,3,5,mick_schumacher,13,137.298
2022,3,5,zhou,14,137.704
2022,3,5,kevin_magnussen,15,137.172
2022,3,5,vettel,16,135.917
2022,3,5,latifi,17,136.809
2022,3,5,albon,18,137.043
2022,3,5,stroll,19,124.896
2022,3,6,leclerc,1,144.953
2022,3,6,max_verstappen,2,144.064
2022,3,6,hamilton,3,142.239
2022,3,6,perez,4,140.703
2022,3,6,russell,5,138.443
2022,3,6,norris,6,136.529
2022,3,6,ricciardo,7,134.475
2022,3,6,ocon,8,133.381
2022,3,6,gasly,9,131.756
2022,3,6,alonso,10,130.907
2022,3,6,tsunoda,11,130.206
2022,3,6,bottas,12,129.62
2022,3,6,mick_schumacher,13,129.072
2022,3,6,zhou,14,128.526
2022,3,6,kevin_magnussen,15,128.102
