year,round,lap,driver,position,laptime
2022,18,1,max_verstappen,1,122.046
2022,18,1,leclerc,2,124.571
2022,18,1,perez,3,127.539
2022,18,1,ocon,4,132.607
2022,18,1,hamilton,5,136.349
2022,18,1,alonso,6,139.00900000000001
2022,18,1,russell,7,142.299
2022,18,1,ricciardo,8,144.913
2022,18,1,tsunoda,9,147.133
2022,18,1,mick_schumacher,10,148.607
2022,18,1,stroll,11,150.337
2022,18,1,kevin_magnussen,12,152.254
2022,18,1,norris,13,154.186
2022,18,1,bottas,14,156.668
2022,18,1,latifi,15,158.94400000000002
2022,18,1,vettel,16,162.377
2022,18,1,zhou,17,167.346
2022,18,1,gasly,18,169.982
2022,18,2,max_verstappen,1,183.369
2022,18,2,leclerc,2,183.735
2022,18,2,perez,3,183.119
2022,18,2,ocon,4,179.566
2022,18,2,hamilton,5,180.131
2022,18,2,alonso,6,180.255
2022,18,2,russell,7,179.723
2022,18,2,ricciardo,8,179.276
2022,18,2,tsunoda,9,180.964
2022,18,2,mick_schumacher,10,182.728
2022,18,2,stroll,11,184.261
2022,18,2,kevin_magnussen,12,184.196
2022,18,2,norris,13,183.799
2022,18,2,bottas,14,182.908
2022,18,2,latifi,15,183.734
2022,18,2,vettel,16,183.136
2022,18,2,zhou,17,180.25
2022,18,2,gasly,18,180.465
2022,18,3,max_verstappen,1,553.758
2022,18,3,leclerc,2,552.789
2022,18,3,perez,3,551.999
2022,18,3,ocon,4,553.288
2022,18,3,hamilton,5,552.244
2022,18,3,alonso,6,551.291
2022,18,3,russell,7,550.782
2022,18,3,ricciardo,8,550.08
2022,18,3,tsunoda,9,547.099
2022,18,3,mick_schumacher,10,544.609
2022,18,3,stroll,11,543.113
2022,18,3,kevin_magnussen,12,542.372
2022,18,3,norris,13,541.923
2022,18,3,bottas,14,542.136
2022,18,3,latifi,15,541.634
2022,18,3,vettel,16,543.24
2022,18,3,zhou,17,543.096
2022,18,3,gasly,18,542.349
2022,18,4,max_verstappen,1,165.704
2022,18,4,leclerc,2,165.976
