number,position,driver
1,1,max_verstappen
11,2,perez
16,3,leclerc
55,4,sainz
44,5,hamilton
63,6,russell
4,7,norris
31,8,ocon
5,9,vettel
3,10,ricciardo
14,11,alonso
22,12,tsunoda
47,13,mick_schumacher
18,14,stroll
24,15,zhou
20,16,kevin_magnussen
10,17,gasly
77,18,bottas
23,19,albon
6,20,latifi
16,1,leclerc
1,2,max_verstappen
11,3,perez
4,4,norris
44,5,hamilton
63,6,russell
3,7,ricciardo
31,8,ocon
55,9,sainz
14,10,alonso
10,11,gasly
77,12,bottas
22,13,tsunoda
24,14,zhou
47,15,mick_schumacher
23,16,albon
20,17,kevin_magnussen
5,18,vettel
6,19,latifi
18,20,stroll
1,1,max_verstappen
16,2,leclerc
55,3,sainz
63,4,russell
31,5,ocon
20,6,kevin_magnussen
47,7,mick_schumacher
14,8,alonso
44,9,hamilton
10,10,gasly
23,11,albon
77,12,bottas
11,13,perez
22,14,tsunoda
4,15,norris
3,16,ricciardo
18,17,stroll
24,18,zhou
6,19,latifi
5,20,vettel
16,1,leclerc
11,2,perez
1,3,max_verstappen
55,4,sainz
63,5,russell
10,6,gasly
44,7,hamilton
22,8,tsunoda
5,9,vettel
14,10,alonso
4,11,norris
3,12,ricciardo
31,13,ocon
24,14,zhou
77,15,bottas
20,16,kevin_magnussen
23,17,albon
6,18,latifi
18,19,stroll
47,20,mick_schumacher
16,1,leclerc
1,2,max_verstappen
55,3,sainz
11,4,perez
44,5,hamilton
77,6,bottas
20,7,kevin_magnussen
14,8,alonso
63,9,russell
10,10,gasly
31,11,ocon
47,12,mick_schumacher
4,13,norris
23,14,albon
24,15,zhou
22,16,tsunoda
27,17,hulkenberg
3,18,ricciardo
18,19,stroll
6,20,latifi
1,1,max_verstappen
55,2,sainz
11,3,perez
16,4,leclerc
31,5,ocon
14,6,alonso
44,7,hamilton
63,8,russell
23,9,albon
4,10,norris
3,11,ricciardo
10,12,gasly
24,13,zhou
18,14,stroll
47,15,mick_schumacher
5,16,vettel
6,17,latifi
20,18,kevin_magnussen
22,19,tsunoda
77,20,bottas
20,1,kevin_magnussen
1,2,max_verstappen
63,3,russell
4,4,norris
55,5,sainz
31,6,ocon
14,7,alonso
44,8,hamilton
11,9,perez
