year,round,lap,driver,position,laptime
2022,10,1,max_verstappen,1,141.969
2022,10,1,sainz,2,143.97899999999998
2022,10,1,hamilton,3,146.223
2022,10,1,leclerc,4,147.77100000000002
2022,10,1,alonso,5,150.972
2022,10,1,perez,6,154.001
2022,10,1,norris,7,156.287
2022,10,1,latifi,8,159.57
2022,10,1,bottas,9,162.397
2022,10,1,ricciardo,10,166.878
2022,10,1,gasly,11,169.321
2022,10,1,kevin_magnussen,12,171.32
2022,10,1,vettel,13,174.11
2022,10,1,stroll,14,176.549
2022,10,1,mick_schumacher,15,178.096
2022,10,1,tsunoda,16,215.85
2022,10,1,ocon,17,282.084
2022,10,2,sainz,1,3190.972
2022,10,2,max_verstappen,2,3195.545
2022,10,2,leclerc,3,3191.677
2022,10,2,perez,4,3186.869
2022,10,2,hamilton,5,3199.557
2022,10,2,norris,6,3194.854
2022,10,2,alonso,7,3204.155
2022,10,2,latifi,8,3198.246
2022,10,2,gasly,9,3191.71
2022,10,2,bottas,10,3200.311
2022,10,2,tsunoda,11,3148.409
2022,10,2,ricciardo,12,3198.0
2022,10,2,ocon,13,3085.945
2022,10,2,kevin_magnussen,14,3197.923
2022,10,2,vettel,15,3199.676
2022,10,2,mick_schumacher,16,3197.41
2022,10,2,stroll,17,3203.101
2022,10,3,sainz,1,151.928
2022,10,3,max_verstappen,2,150.36
2022,10,3,leclerc,3,149.193
2022,10,3,perez,4,149.321
2022,10,3,norris,5,139.606
2022,10,3,hamilton,6,145.614
2022,10,3,gasly,7,131.047
2022,10,3,alonso,8,137.237
2022,10,3,tsunoda,9,128.425
2022,10,3,latifi,10,135.275
2022,10,3,ocon,11,125.385
2022,10,3,ricciardo,12,128.846
2022,10,3,bottas,13,131.434
2022,10,3,vettel,14,120.736
2022,10,3,kevin_magnussen,15,125.703
2022,10,3,stroll,16,115.88
2022,10,3,mick_schumacher,17,120.329
2022,10,4,sainz,1,93.437
2022,10,4,max_verstappen,2,93.807
2022,10,4,leclerc,3,94.65
2022,10,4,perez,4,95.479
2022,10,4,norris,5,95.426
2022,10,4,hamilton,6,95.27000000000001
2022,10,4,gasly,7,95.854
2022,10,4,alonso,8,96.426
2022,10,4,tsunoda,9,96.822
2022,10,4,ocon,10,96.513
