year,round,lap,driver,position,laptime
2022,19,1,max_verstappen,1,101.343
2022,19,1,hamilton,2,102.63
2022,19,1,stroll,3,104.253
2022,19,1,russell,4,105.339
2022,19,1,vettel,5,106.02000000000001
2022,19,1,norris,6,107.107
2022,19,1,perez,7,107.523
2022,19,1,gasly,8,108.408
2022,19,1,albon,9,109.136
2022,19,1,leclerc,10,109.47399999999999
2022,19,1,bottas,11,110.031
2022,19,1,alonso,12,110.72200000000001
2022,19,1,ricciardo,13,111.259
2022,19,1,tsunoda,14,111.661
2022,19,1,mick_schumacher,15,112.255
2022,19,1,latifi,16,112.557
2022,19,1,zhou,17,112.824
2022,19,1,kevin_magnussen,18,113.674
2022,19,1,sainz,19,115.01599999999999
2022,19,1,ocon,20,115.666
2022,19,2,max_verstappen,1,101.696
2022,19,2,hamilton,2,102.325
2022,19,2,stroll,3,103.289
2022,19,2,russell,4,103.18299999999999
2022,19,2,vettel,5,103.49000000000001
2022,19,2,perez,6,103.173
2022,19,2,norris,7,104.959
2022,19,2,gasly,8,104.501
2022,19,2,leclerc,9,104.138
2022,19,2,albon,10,105.35
2022,19,2,bottas,11,104.805
2022,19,2,alonso,12,105.239
2022,19,2,ricciardo,13,105.277
2022,19,2,tsunoda,14,105.43299999999999
2022,19,2,latifi,15,105.322
2022,19,2,zhou,16,105.535
2022,19,2,mick_schumacher,17,106.655
2022,19,2,kevin_magnussen,18,106.83
2022,19,2,ocon,19,105.362
2022,19,3,max_verstappen,1,101.893
2022,19,3,hamilton,2,102.175
2022,19,3,stroll,3,103.08
2022,19,3,russell,4,102.912
2022,19,3,vettel,5,103.031
2022,19,3,perez,6,102.47
2022,19,3,norris,7,103.762
2022,19,3,gasly,8,103.602
2022,19,3,leclerc,9,103.357
2022,19,3,albon,10,104.781
2022,19,3,bottas,11,104.713
2022,19,3,alonso,12,104.501
2022,19,3,ricciardo,13,104.519
2022,19,3,tsunoda,14,104.598
2022,19,3,latifi,15,104.57900000000001
2022,19,3,zhou,16,104.538
2022,19,3,mick_schumacher,17,104.896
2022,19,3,ocon,18,104.58
2022,19,3,kevin_magnussen,19,106.12299999999999
2022,19,4,max_verstappen,1,102.581
2022,19,4,hamilton,2,102.798
2022,19,4,stroll,3,103.29599999999999
2022,19,4,russell,4,103.09100000000001
2022,19,4,perez,5,102.679
2022,19,4,vettel,6,104.27000000000001
2022,19,4,gasly,7,103.571
2022,19,4,norris,8,104.80799999999999
2022,19,4,leclerc,9,104.13300000000001
